time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-24 16:00:00+08:00,118798.85,118224.74,118406.66,2119.02,251398875.3,118772.9,direct,
2025-07-24 17:00:00+08:00,118819.42,118304.8,118772.9,1750.37,207551950.78,118501.16,direct,
2025-07-24 18:00:00+08:00,118645.5,117961.36,118501.16,1559.67,184418153.52,118382.39,direct,
2025-07-24 19:00:00+08:00,118740.43,118311.51,118382.39,1388.3,164656870.01,118598.82,direct,
2025-07-24 20:00:00+08:00,118728.81,118283.28,118598.82,2041.49,241892901.17,118526.63,direct,
2025-07-24 21:00:00+08:00,118722.34,118213.47,118526.63,2230.42,264483073.45,118226.65,direct,
2025-07-24 22:00:00+08:00,119120.14,117833.29,118226.65,3780.45,447656960.39,119058.49,direct,
2025-07-24 23:00:00+08:00,119469.08,118614.84,119058.49,4140.99,493204911.74,119095.96,direct,
2025-07-25 00:00:00+08:00,119196.83,118353.41,119095.96,2469.76,293191151.4,118532.17,direct,
2025-07-25 01:00:00+08:00,119313.41,118484.74,118532.17,1290.37,153569657.01,119126.7,direct,
2025-07-25 02:00:00+08:00,119403.86,118966.64,119126.7,1341.89,159905108.6,119044.23,direct,
2025-07-25 03:00:00+08:00,119352.91,118904.06,119044.23,1265.6,150768618.99,118948.57,direct,
2025-07-25 04:00:00+08:00,118991.65,118719.17,118948.57,834.69,99205679.47,118724.98,direct,
2025-07-25 05:00:00+08:00,118791.39,118489.61,118724.98,799.4,94821353.58,118530.6,direct,
2025-07-25 06:00:00+08:00,118627.75,118189.78,118530.6,1133.96,134297138.03,118282.68,direct,
2025-07-25 07:00:00+08:00,118457.24,118174.2,118282.68,1302.97,154162430.4,118339.83,direct,
2025-07-25 08:00:00+08:00,118451.63,117658.79,118339.83,2756.74,325085327.82,117667.72,direct,
2025-07-25 09:00:00+08:00,117797.95,117224.3,117667.72,5688.87,668244647.68,117362.1,direct,
2025-07-25 10:00:00+08:00,117386.14,116356.21,117362.1,6974.19,815469234.71,116356.44,direct,
2025-07-25 11:00:00+08:00,116420.46,115334.27,116356.44,9791.47,1134277725.84,115416.79,direct,
2025-07-25 12:00:00+08:00,116132.22,115100.69,115416.79,6495.37,750050463.23,116093.04,direct,
2025-07-25 13:00:00+08:00,116093.04,115254.82,116093.04,4360.05,503973056.42,115511.73,direct,
2025-07-25 14:00:00+08:00,115516.2,115197.12,115511.73,3492.82,402889793.7,115288.37,direct,
2025-07-25 15:00:00+08:00,115953.94,114727.11,115288.37,6092.47,702070043.04,115322.9,direct,
2025-07-25 16:00:00+08:00,115976.46,115014.87,115322.9,8714.64,1005706934.39,115191.94,direct,
