time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-26 18:00:00+08:00,118212.53,117537.39,117572.88,1735.84,204703075.9,117972.31,direct,
2025-07-26 19:00:00+08:00,118070.98,117775.5,117972.31,690.78,81462988.43,117775.51,direct,
2025-07-26 20:00:00+08:00,117990.66,117764.21,117775.51,486.74,57375020.88,117909.39,direct,
2025-07-26 21:00:00+08:00,118223.46,117849.57,117909.39,971.23,114711882.14,118123.49,direct,
2025-07-26 22:00:00+08:00,118210.88,117949.75,118123.49,931.81,110030319.63,118059.02,direct,
2025-07-26 23:00:00+08:00,118144.83,117818.79,118059.02,850.94,100380242.6,118125.67,direct,
2025-07-27 00:00:00+08:00,118195.14,118005.18,118125.67,735.41,86860247.02,118074.1,direct,
2025-07-27 01:00:00+08:00,118091.66,117982.38,118074.1,335.11,39551907.5,118028.41,direct,
2025-07-27 02:00:00+08:00,118099.22,117934.34,118028.41,461.38,54457653.77,118086.19,direct,
2025-07-27 03:00:00+08:00,118291.72,118035.08,118086.19,615.9,72770632.17,118226.32,direct,
2025-07-27 04:00:00+08:00,118226.36,117880.01,118226.32,551.15,65039974.76,117947.25,direct,
2025-07-27 05:00:00+08:00,118071.85,117883.6,117947.25,366.36,43214786.28,118026.66,direct,
2025-07-27 06:00:00+08:00,118268.44,117972.94,118026.66,1118.07,132045321.56,118001.09,direct,
2025-07-27 07:00:00+08:00,118042.98,117887.6,118001.09,785.1,92612598.46,117915.27,direct,
2025-07-27 08:00:00+08:00,117960.61,117824.67,117915.27,820.77,96761935.62,117945.94,direct,
2025-07-27 09:00:00+08:00,118199.98,117914.99,117945.94,1124.35,132796774.41,118096.55,direct,
2025-07-27 10:00:00+08:00,118348.4,118016.55,118096.55,1333.65,157661875.96,118314.6,direct,
2025-07-27 11:00:00+08:00,118318.9,118080.51,118314.6,957.13,113122284.13,118184.06,direct,
2025-07-27 12:00:00+08:00,118266.39,118146.79,118184.06,375.79,44426320.59,118214.7,direct,
2025-07-27 13:00:00+08:00,118303.85,118160.91,118214.7,528.24,62457182.17,118280.07,direct,
2025-07-27 14:00:00+08:00,118447.26,118199.31,118280.07,820.0,97016558.97,118271.03,direct,
2025-07-27 15:00:00+08:00,118271.22,118073.78,118271.03,396.88,46897811.17,118105.98,direct,
2025-07-27 16:00:00+08:00,118136.51,117947.45,118105.98,459.74,54268331.89,117947.95,direct,
2025-07-27 17:00:00+08:00,118003.56,117856.8,117947.95,546.65,64456484.22,117942.96,direct,
2025-07-27 18:00:00+08:00,118290.94,117942.48,117942.96,769.57,90935746.03,118188.67,direct,
