time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-27 19:00:00+08:00,118255.78,118052.14,118188.67,512.86,60604103.52,118070.75,direct,
2025-07-27 20:00:00+08:00,118113.73,117888.45,118070.75,734.3,86658967.2,118104.91,direct,
2025-07-27 21:00:00+08:00,118221.96,118086.24,118104.91,587.62,69434026.93,118204.61,direct,
2025-07-27 22:00:00+08:00,118497.2,118152.92,118204.61,1286.81,152295278.09,118422.09,direct,
2025-07-27 23:00:00+08:00,118587.96,118248.23,118422.09,1501.43,177835247.53,118585.53,direct,
2025-07-28 00:00:00+08:00,119539.35,118585.52,118585.53,5263.05,627266631.47,119090.88,direct,
2025-07-28 01:00:00+08:00,119334.96,118852.23,119090.88,1835.99,218661037.35,119198.42,direct,
2025-07-28 02:00:00+08:00,119377.93,118942.39,119198.42,1128.25,134467201.1,119023.79,direct,
2025-07-28 03:00:00+08:00,119075.77,118893.1,119023.79,425.52,50624675.96,118958.46,direct,
2025-07-28 04:00:00+08:00,119174.17,118723.87,118958.46,730.79,86931391.36,118750.64,direct,
2025-07-28 05:00:00+08:00,119270.01,118727.26,118750.64,655.24,77948830.89,119265.95,direct,
2025-07-28 06:00:00+08:00,119769.66,119235.51,119265.95,1854.49,221865431.1,119502.0,direct,
2025-07-28 07:00:00+08:00,119538.12,119144.09,119502.0,1071.47,127911962.15,119422.54,direct,
2025-07-28 08:00:00+08:00,119691.75,119131.33,119422.54,1376.75,164439688.97,119247.28,direct,
2025-07-28 09:00:00+08:00,119482.72,118957.8,119247.28,1313.19,156504712.67,119037.58,direct,
2025-07-28 10:00:00+08:00,119801.36,119019.63,119037.58,1674.15,200041525.8,119432.93,direct,
2025-07-28 11:00:00+08:00,119521.74,119231.6,119432.93,770.22,91912454.22,119282.38,direct,
2025-07-28 12:00:00+08:00,119415.73,119129.03,119282.38,860.28,102590977.94,119212.74,direct,
2025-07-28 13:00:00+08:00,119688.84,119138.51,119212.74,1471.06,175675796.9,119523.75,direct,
2025-07-28 14:00:00+08:00,119602.34,119440.41,119523.75,1094.99,130865235.17,119453.15,direct,
2025-07-28 15:00:00+08:00,119453.72,118767.35,119453.15,1874.44,222955565.08,118891.04,direct,
2025-07-28 16:00:00+08:00,119098.68,118775.21,118891.04,1232.94,146623885.13,119066.94,direct,
2025-07-28 17:00:00+08:00,119066.94,118706.14,119066.94,907.98,107953202.65,118932.32,direct,
2025-07-28 18:00:00+08:00,118961.16,118628.0,118932.32,865.61,102812846.34,118766.92,direct,
2025-07-28 19:00:00+08:00,118869.46,118487.34,118766.92,1328.49,157640674.18,118825.89,direct,
