time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-25 17:00:00+08:00,116032.89,115008.67,115191.94,3524.43,406904663.3,116027.17,direct,
2025-07-25 18:00:00+08:00,116494.04,115988.09,116027.17,2325.3,270297940.05,116302.45,direct,
2025-07-25 19:00:00+08:00,116780.63,116302.4,116302.45,2226.07,259486615.22,116537.46,direct,
2025-07-25 20:00:00+08:00,116652.32,115955.94,116537.46,3759.8,437140423.66,116106.92,direct,
2025-07-25 21:00:00+08:00,116604.98,115567.81,116106.92,4099.55,475580784.52,116218.86,direct,
2025-07-25 22:00:00+08:00,116287.42,114915.38,116218.86,5135.47,592788903.71,114957.53,direct,
2025-07-25 23:00:00+08:00,115843.57,114917.67,114957.53,3346.86,386100744.49,115721.19,direct,
2025-07-26 00:00:00+08:00,116200.58,115449.52,115721.19,2314.53,268132503.11,116178.74,direct,
2025-07-26 01:00:00+08:00,116345.77,115866.32,116178.74,1852.4,215178187.34,116039.74,direct,
2025-07-26 02:00:00+08:00,116574.98,116039.72,116039.74,1384.96,161178806.56,116493.64,direct,
2025-07-26 03:00:00+08:00,117005.78,116411.21,116493.64,2058.27,240301374.56,116689.59,direct,
2025-07-26 04:00:00+08:00,117309.77,116575.03,116689.59,1876.78,219549644.03,117047.44,direct,
2025-07-26 05:00:00+08:00,117388.26,116953.67,117047.44,1098.06,128686019.7,117213.42,direct,
2025-07-26 06:00:00+08:00,117352.44,117110.35,117213.42,604.62,70881872.55,117281.77,direct,
2025-07-26 07:00:00+08:00,117637.2,117182.67,117281.77,927.09,108850324.36,117613.46,direct,
2025-07-26 08:00:00+08:00,117613.48,117332.91,117613.46,967.12,113615359.79,117496.18,direct,
2025-07-26 09:00:00+08:00,117554.86,117138.11,117496.18,651.09,76415516.35,117155.63,direct,
2025-07-26 10:00:00+08:00,117747.34,117155.63,117155.63,993.95,116799406.78,117471.78,direct,
2025-07-26 11:00:00+08:00,117607.41,117460.99,117471.78,606.95,71347313.16,117488.84,direct,
2025-07-26 12:00:00+08:00,117548.32,117400.86,117488.84,447.34,52553787.51,117497.27,direct,
2025-07-26 13:00:00+08:00,117545.49,117420.61,117497.27,351.54,41296870.36,117446.91,direct,
2025-07-26 14:00:00+08:00,117460.8,117314.96,117446.91,534.82,62777797.26,117344.08,direct,
2025-07-26 15:00:00+08:00,117391.99,117306.25,117344.08,1003.88,117813123.56,117309.93,direct,
2025-07-26 16:00:00+08:00,117615.88,117309.36,117309.93,788.94,92668530.71,117558.33,direct,
2025-07-26 17:00:00+08:00,117621.06,117454.63,117558.33,514.83,60509146.95,117572.88,direct,
