time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-30 22:00:00+08:00,118723.94,117616.42,117678.93,3164.33,373834754.6,118714.41,direct,
2025-07-30 23:00:00+08:00,118784.91,117844.8,118714.41,2735.19,323589204.57,117998.8,direct,
2025-07-31 00:00:00+08:00,118019.97,117635.17,117998.8,1756.87,206988748.48,117733.47,direct,
2025-07-31 01:00:00+08:00,117945.39,117648.77,117733.47,1257.82,148170624.17,117798.18,direct,
2025-07-31 02:00:00+08:00,118022.47,116503.79,117798.18,5198.86,609617438.32,116521.55,direct,
2025-07-31 03:00:00+08:00,117116.58,115820.88,116521.55,7925.12,921890992.75,116926.76,direct,
2025-07-31 04:00:00+08:00,117325.0,116878.22,116926.76,2013.74,235887801.45,117179.72,direct,
2025-07-31 05:00:00+08:00,117336.11,116955.7,117179.72,684.64,80197012.5,117327.57,direct,
2025-07-31 06:00:00+08:00,117497.14,117252.13,117327.57,1117.79,131202798.55,117485.52,direct,
2025-07-31 07:00:00+08:00,117911.55,117459.77,117485.52,915.1,107690556.02,117834.55,direct,
2025-07-31 08:00:00+08:00,118534.69,117784.23,117834.55,2060.31,243554980.44,118410.97,direct,
2025-07-31 09:00:00+08:00,118460.42,117993.04,118410.97,1294.66,153120716.87,118053.05,direct,
2025-07-31 10:00:00+08:00,118501.17,117974.09,118053.05,1349.58,159641817.35,118444.14,direct,
2025-07-31 11:00:00+08:00,118597.8,118380.39,118444.14,1322.59,156682867.72,118463.6,direct,
2025-07-31 12:00:00+08:00,118554.82,118360.22,118463.6,925.88,109681548.63,118510.99,direct,
2025-07-31 13:00:00+08:00,118541.18,118331.96,118510.99,653.29,77353875.59,118357.77,direct,
2025-07-31 14:00:00+08:00,118730.43,118287.1,118357.77,1136.2,134682286.27,118692.35,direct,
2025-07-31 15:00:00+08:00,118918.82,118602.72,118692.35,1465.95,174094483.78,118668.59,direct,
2025-07-31 16:00:00+08:00,118764.2,118566.05,118668.59,697.48,82758599.59,118590.73,direct,
2025-07-31 17:00:00+08:00,118618.24,118466.19,118590.73,670.17,79442035.58,118602.85,direct,
2025-07-31 18:00:00+08:00,118707.02,118433.82,118602.85,807.13,95680093.33,118511.96,direct,
2025-07-31 19:00:00+08:00,118561.66,118288.65,118511.96,971.3,115040773.38,118367.61,direct,
2025-07-31 20:00:00+08:00,118644.31,118293.43,118367.61,1268.18,150210656.49,118623.05,direct,
2025-07-31 21:00:00+08:00,118696.8,117820.13,118623.05,2907.7,343991871.9,118565.07,direct,
2025-07-31 22:00:00+08:00,118656.75,117903.07,118565.07,2792.52,329943139.99,118044.43,direct,
