time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-20 12:00:00+08:00,118126.33,117894.75,117961.14,494.19,58309395.51,117955.25,direct,
2025-07-20 13:00:00+08:00,117980.51,117799.4,117955.25,493.89,58216129.66,117848.36,direct,
2025-07-20 14:00:00+08:00,117888.19,117766.28,117848.36,335.79,39565385.92,117826.94,direct,
2025-07-20 15:00:00+08:00,118216.89,117826.7,117826.94,728.77,86025565.14,118025.7,direct,
2025-07-20 16:00:00+08:00,118255.74,118025.56,118025.7,1324.69,156538440.69,118159.58,direct,
2025-07-20 17:00:00+08:00,118280.23,117891.64,118159.58,1170.51,138220548.65,117918.12,direct,
2025-07-20 18:00:00+08:00,117998.85,117880.68,117918.12,763.86,90093464.1,117893.49,direct,
2025-07-20 19:00:00+08:00,118082.36,117822.72,117893.49,856.45,100993595.18,117882.57,direct,
2025-07-20 20:00:00+08:00,118171.75,117726.2,117882.57,2414.18,284656676.46,118081.41,direct,
2025-07-20 21:00:00+08:00,118411.07,118080.95,118081.41,1236.13,146082025.68,118405.75,direct,
2025-07-20 22:00:00+08:00,118794.33,118280.74,118405.75,2167.8,257045620.0,118461.73,direct,
2025-07-20 23:00:00+08:00,118771.38,118351.11,118461.73,1139.48,135140573.25,118676.6,direct,
2025-07-21 00:00:00+08:00,118858.82,118460.66,118676.6,1545.86,183427092.6,118559.0,direct,
2025-07-21 01:00:00+08:00,118559.01,117956.04,118559.0,1617.89,191296261.74,118016.86,direct,
2025-07-21 02:00:00+08:00,118443.65,118016.85,118016.86,1234.0,145881178.07,118359.68,direct,
2025-07-21 03:00:00+08:00,118563.94,118158.72,118359.68,602.76,71385432.48,118158.72,direct,
2025-07-21 04:00:00+08:00,118270.96,117857.45,118158.72,1581.4,186749232.5,118094.87,direct,
2025-07-21 05:00:00+08:00,118160.04,117840.17,118094.87,920.72,108636261.63,118003.2,direct,
2025-07-21 06:00:00+08:00,118043.15,116475.28,118003.2,4884.34,572320775.61,117483.76,direct,
2025-07-21 07:00:00+08:00,117559.01,116959.18,117483.76,1549.18,181698279.03,117266.62,direct,
2025-07-21 08:00:00+08:00,117357.74,116517.72,117266.62,2466.73,288557157.91,117355.28,direct,
2025-07-21 09:00:00+08:00,117441.15,116783.33,117355.28,1702.73,199466327.74,117305.61,direct,
2025-07-21 10:00:00+08:00,118185.47,117305.6,117305.61,2051.59,241746848.72,118183.81,direct,
2025-07-21 11:00:00+08:00,118613.63,118140.46,118183.81,1805.48,213790609.18,118402.2,direct,
2025-07-21 12:00:00+08:00,118639.15,118280.48,118402.2,1258.35,149065559.86,118334.81,direct,
