timestamp,signal_type,long,short,confidence,timeframes,current_price,rsi_primary,rsi_secondary,rsi_tertiary,entry_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,rr_ratio
2025-07-21 06:36:55.017413,单TF强空,False,True,55,1h,0,0,0,0,117483.7578125,118644.0419750222,117533.2298999778,117072.4110015104,116611.59210304297,0.35452247326674435
2025-07-21 07:36:55.017413,单TF强空,False,True,55,1h,0,0,0,0,117266.6171875,118713.86748593474,117393.95204531525,116923.20391638123,116452.4557874472,0.23728671639604176
2025-07-21 08:36:55.017413,单TF强空,False,True,55,1h,0,0,0,0,117355.28125,118750.28187975555,117297.54077649445,116800.41583980572,116303.29090311698,0.39775280265752355
2025-07-21 09:36:55.017413,单TF强空,False,True,55,1h,0,0,0,0,117305.609375,118785.25099594354,117208.29666030647,116699.69348248835,116191.09030467024,0.40950179011946697
2025-07-21 10:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,118183.8125,116475.28125,118803.06571452874,119338.18775018127,119873.30978583382,0.6756535768258676
2025-07-21 11:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,118402.203125,116517.71875,118839.82516391434,119370.5221880917,119901.21921226905,0.513837671427599
2025-07-21 12:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,118334.8125,116517.71875,118857.63579892201,119376.04531244384,119894.45482596567,0.5730209640772995
2025-07-21 13:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,118425.96875,116783.328125,118897.49139322781,119396.20759328379,119894.92379333978,0.5906580103507367
2025-07-21 14:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,119175.546875,117176.85070969565,119086.54850905437,119617.78107428493,120149.01363951548,0.22126134375085632
2025-07-21 15:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,119362.8203125,117119.18388773692,119292.24033101309,119820.52157462004,120348.80281822698,0.20399974660260375
2025-07-21 16:36:55.017413,多头共振,True,False,75,"4h, 1h",0,0,0,0,119015.3984375,117112.30288051353,119392.52055698646,119929.15671176434,120465.79286654222,0.4801431388507187
