timestamp,signal_type,long,short,confidence,timeframes,current_price,rsi_primary,rsi_secondary,rsi_tertiary,entry_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,rr_ratio
2025-06-16 00:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105566.09375,104845.52558376997,105920.99483325779,106281.2789163728,106641.56299948783,0.9925295064235264
2025-06-16 01:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105685.7890625,104940.23720213994,105949.16826661005,106305.14020539542,106661.11214418079,0.8307284520708008
2025-06-16 02:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105485.71875,104793.57331904145,105952.19748096415,106298.27019644342,106644.34291192271,1.173960572589665
2025-06-16 03:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105295.34375,104582.64174268134,105950.38569381206,106306.73669747138,106663.08770113072,1.4190965327521161
2025-06-16 04:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104735.53125,105980.82123666904,104811.04751333095,104430.51566618301,104049.98381903506,0.24493538620097471
2025-06-16 05:14:40.982820,空头共振,False,True,75,"4h, 1h",0,0,0,0,104807.2421875,106003.65396366075,104726.89994258924,104349.36032559472,103971.8207086002,0.38271260031776533
2025-06-16 06:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105264.75,104473.39405951017,105992.09956218276,106387.77753242767,106783.45550267259,1.419118092084521
2025-06-16 07:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105588.5234375,104496.4765625,106003.81755563895,106398.8343762235,106793.85119680807,0.7420111327396104
2025-06-16 08:14:40.982820,多头共振,True,False,75,"1d, 4h",0,0,0,0,105431.296875,104496.4765625,105991.6004135374,106388.40900140163,106785.21758926587,1.02384609491637
2025-06-16 09:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105813.7109375,104496.4765625,105928.77737412513,106362.70900928478,106796.64064444443,0.41678085707775375
2025-06-16 10:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105786.4375,104733.9296875,105975.92387483294,106399.32077265975,106822.71767048657,0.5823075756596786
2025-06-16 11:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,105923.3515625,104717.04432319435,106047.58067680565,106459.14063103769,106870.70058526973,0.44415638991447276
2025-06-16 12:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106388.7734375,104651.63920118252,106231.93033006747,106651.33700631864,107070.74368256982,0.15114754135250313
2025-06-16 13:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106563.1171875,104632.08633162707,106415.47773087292,106838.67901953474,107261.88030819655,0.1427019310419943
2025-06-16 14:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106583.5390625,104613.77177370692,106579.81807004308,106991.38165505049,107402.94524005787,0.20705115516482103
2025-06-16 15:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107057.2265625,104573.17269032449,106828.74918467551,107259.36682164668,107689.98445861782,0.08137515108303306
2025-06-16 16:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107178.1171875,104515.16746293021,107075.5559745698,107495.66967318587,107915.78337180194,0.11924839690211225
2025-06-16 17:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106951.8828125,104498.88793783524,107234.70659341477,107650.32556355826,108065.94453370175,0.2847306198117168
2025-06-16 18:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106833.28125,104498.60530479348,107352.21969520653,107771.10806926835,108189.99644333016,0.4016946425450877
2025-06-16 19:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106888.4765625,104515.47637491237,107467.34393758763,107883.83794118075,108300.33194477386,0.41945271807695406
2025-06-16 20:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,106691.5390625,104555.17729847827,107540.18754527172,107948.44648610818,108356.70542694465,0.5883401607235453
2025-06-16 21:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107158.3828125,104563.61382964322,107679.01038910677,108105.89424934778,108532.77810958878,0.3651621562874519
2025-06-16 22:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107535.5078125,104579.53829516056,107868.06482983944,108335.75274470609,108803.44065957273,0.27072164564347606
2025-06-16 23:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107430.859375,104664.14752131642,107997.00716618358,108460.3395826669,108923.67199915022,0.37209520257639367
2025-06-17 00:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107765.4296875,104873.31145396868,108090.83307728132,108563.30023187297,109035.76738646462,0.2758775679093722
2025-06-17 01:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,107753.8671875,105124.82162461738,108133.98540663262,108600.59441625344,109067.20342587425,0.32206639577027696
2025-06-17 02:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,108259.25,105251.73844323262,108306.51858801737,108781.73532462955,109256.95206124174,0.1737267886648277
2025-06-17 03:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,108651.203125,105302.37141690376,108562.15358309624,109048.2906644147,109534.42774573316,0.11857494613858584
2025-06-17 04:14:40.982820,多头共振,True,False,100,"1d, 4h, 1h",0,0,0,0,108786.5234375,105432.37678714716,108767.67086910285,109247.11177496999,109726.55268083712,0.13731908156774852
